City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Leh,IN,2022-01-23 22:59:09,34.1667,77.5833,6.64,97,100,1.72
59,Mar Del Plata,AR,2022-01-23 22:59:09,-38.0023,-57.5575,78.82,59,0,3.0
60,Yellowknife,CA,2022-01-23 22:59:10,62.456,-114.3525,-16.58,82,40,5.75
61,Ushuaia,AR,2022-01-23 22:58:45,-54.8,-68.3,51.46,66,75,21.85
62,Mosquera,CO,2022-01-23 22:59:10,4.7059,-74.2302,60.89,82,40,8.05
63,Maba,CN,2022-01-23 22:59:11,24.6841,113.5984,52.39,86,100,3.04
64,Ribeira Grande,PT,2022-01-23 22:59:11,38.5167,-28.7,59.99,64,13,7.43
65,Qaanaaq,GL,2022-01-23 22:59:11,77.484,-69.3632,-4.29,75,100,3.76
66,Sechenovo,RU,2022-01-23 22:59:12,55.2244,45.8906,5.74,100,100,3.89
67,East London,ZA,2022-01-23 22:56:15,-33.0153,27.9116,72.3,77,0,20.29
68,Vardo,NO,2022-01-23 22:59:12,70.3705,31.1107,41.2,79,100,38.03
69,Pisco,PE,2022-01-23 22:54:53,-13.7,-76.2167,77.05,65,0,19.57
70,Khatanga,RU,2022-01-23 22:59:12,71.9667,102.5,-20.16,100,100,3.96
71,Nanortalik,GL,2022-01-23 22:59:13,60.1432,-45.2371,23.02,77,100,6.93
72,Barabinsk,RU,2022-01-23 22:59:13,55.3571,78.357,-1.19,98,86,4.65
73,Khani,GE,2022-01-23 22:59:13,41.9563,42.9566,42.37,75,100,7.96
74,Springfield,US,2022-01-23 22:55:09,37.2153,-93.2982,48.22,67,26,5.35
75,Mpika,ZM,2022-01-23 22:59:14,-11.8343,31.4529,58.21,98,96,5.66
76,Sistranda,NO,2022-01-23 22:58:23,63.7256,8.834,48.9,68,100,44.49
77,Ilulissat,GL,2022-01-23 22:59:14,69.2167,-51.1,5.41,85,100,6.69
78,Taltal,CL,2022-01-23 22:59:14,-25.4,-70.4833,67.19,72,69,4.61
79,Vao,NC,2022-01-23 22:59:14,-22.6667,167.4833,76.93,67,7,9.53
80,Muisne,EC,2022-01-23 22:59:15,0.6,-80.0333,77.11,86,78,8.41
81,Lompoc,US,2022-01-23 22:59:15,34.6391,-120.4579,74.21,56,0,15.01
82,Russellville,US,2022-01-23 22:59:15,35.2784,-93.1338,58.73,72,1,3.96
83,Mahebourg,MU,2022-01-23 22:59:15,-20.4081,57.7,79.09,83,40,2.3
84,Zhaoyang,CN,2022-01-23 22:59:16,42.682,126.0305,-4.65,98,73,1.81
85,Atuona,PF,2022-01-23 22:59:16,-9.8,-139.0333,78.73,75,17,19.08
86,Reims,FR,2022-01-23 22:57:20,49.1667,4.0833,37.18,81,40,5.75
87,Alekseyevsk,RU,2022-01-23 22:59:16,57.8406,108.3492,-17.82,100,99,2.33
88,Aykhal,RU,2022-01-23 22:59:17,66.0,111.5,5.41,100,87,4.81
89,Constitucion,CL,2022-01-23 23:00:17,-35.3333,-72.4167,64.36,72,0,19.08
90,Tiksi,RU,2022-01-23 23:00:18,71.6872,128.8694,-5.84,100,100,3.27
91,Kaitangata,NZ,2022-01-23 23:00:18,-46.2817,169.8464,55.92,69,56,6.73
92,Rikitea,PF,2022-01-23 23:00:19,-23.1203,-134.9692,78.53,70,99,15.37
93,Kodiak,US,2022-01-23 23:00:19,57.79,-152.4072,39.11,92,100,17.52
94,Kupang,ID,2022-01-23 23:00:20,-10.1667,123.5833,80.44,82,98,10.63
95,Erenhot,CN,2022-01-23 23:00:21,43.6475,111.9767,7.56,97,72,2.3
96,Anchorage,US,2022-01-23 23:00:01,61.2181,-149.9003,42.85,76,100,1.01
97,Rudnya,RU,2022-01-23 23:00:21,54.947,31.0934,-1.23,100,96,1.3
98,Husavik,IS,2022-01-23 22:57:15,66.0449,-17.3389,24.71,68,55,20.27
99,Beringovskiy,RU,2022-01-23 23:00:22,63.05,179.3167,-19.1,97,76,5.5
100,Yanam,IN,2022-01-23 23:00:23,16.7333,82.2167,68.92,97,49,1.97
101,Ardea,IT,2022-01-23 23:00:23,41.6123,12.5143,46.8,74,0,1.99
102,Narasannapeta,IN,2022-01-23 23:00:23,18.4167,84.05,69.8,87,52,4.99
103,Longyearbyen,SJ,2022-01-23 23:00:24,78.2186,15.6401,13.84,79,0,8.05
104,Zyryanka,RU,2022-01-23 23:00:24,65.75,150.85,-24.38,98,100,5.3
105,Rundu,NA,2022-01-23 23:00:24,-17.9333,19.7667,64.4,73,65,5.19
