City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vangaindrano,MG,73.04,clear sky,-23.35,47.6,Hotel Fanilo
4,Esperance,AU,76.84,clear sky,-33.8667,121.9,Hospitality Esperance
13,Butaritari,KI,82.56,broken clouds,3.0707,172.7902,Isles Sunset Lodge
22,Bowen,AU,82.62,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
27,New Norfolk,AU,75.65,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
32,Avarua,CK,84.25,few clouds,-21.2078,-159.775,Paradise Inn
36,Hobart,AU,77.02,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
37,Bima,ID,82.8,overcast clouds,-8.4667,118.7167,Lambitu Hotel
41,Ixtapa,MX,75.22,clear sky,20.7,-105.2,Hotel Plaza Providencia
42,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
44,Atambua,ID,76.19,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
47,Cape Town,ZA,70.21,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
52,Busselton,AU,77.04,clear sky,-33.65,115.3333,Observatory Guest House
54,Nabire,ID,83.93,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
56,West Bay,KY,75.27,broken clouds,19.3667,-81.4167,Calypso Cove
57,Hilo,US,77.11,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
59,Nargana,PA,78.55,scattered clouds,9.4428,-78.5906,Dubbir
60,Ruwi,OM,70.2,clear sky,23.5996,58.5507,Al Falaj Hotel
64,Rikitea,PF,76.98,overcast clouds,-23.1203,-134.9692,People ThankYou
68,Boa Vista,BR,82.38,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
69,Port Lincoln,AU,70.88,clear sky,-34.7333,135.8667,Port Lincoln Hotel
76,Kavieng,PG,83.37,light rain,-2.5744,150.7967,Nusa Island Retreat
77,Itaituba,BR,71.38,overcast clouds,-4.2761,-55.9836,Hotel Campos
78,Pontianak,ID,76.98,mist,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
82,Payakumbuh,ID,72.82,overcast clouds,-0.2202,100.6308,Dalimo Homestay
84,Sao Pedro,BR,72.19,overcast clouds,-22.5486,-47.9139,Hotel Fazenda Samambaia
89,Vaini,TO,81.77,light rain,-21.2,-175.2,Keleti Beach Resort
91,Atuona,PF,77.77,light rain,-9.8,-139.0333,Villa Enata
95,Sao Filipe,CV,70.63,scattered clouds,14.8961,-24.4956,Hotel Xaguate
102,Tomatlan,MX,71.49,clear sky,19.9333,-105.25,El Salvial
109,Moron,AR,77.99,broken clouds,-34.6534,-58.6198,Hotel Morón
112,Mahebourg,MU,76.24,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
121,Namibe,AO,70.57,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
127,Olinda,BR,76.66,overcast clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
128,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
133,Sibolga,ID,77.02,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
135,Barreirinhas,BR,75.18,light rain,-2.7469,-42.8264,Gran Lençóis Flat Residence
137,Vanimo,PG,80.26,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
139,Georgetown,MY,81.9,haze,5.4112,100.3354,Cititel Penang
140,Touros,BR,77.88,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
141,Armidale,AU,74.8,overcast clouds,-30.5167,151.65,Abbotsleigh Motor Inn
142,Mapastepec,MX,76.87,clear sky,15.4333,-92.9,Hotel San Carlos
149,Bambous Virieux,MU,76.21,overcast clouds,-20.3428,57.7575,Casa Tia Villa
152,Inverell,AU,86.67,overcast clouds,-29.7833,151.1167,Sapphire City Motor Inn
157,Conde,BR,75.42,overcast clouds,-7.2597,-34.9075,Pousada Beija Flor
163,Puerto Ayora,EC,73.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
164,Curillo,CO,76.55,overcast clouds,1.0333,-75.9191,CASA CLUB
165,Tabuk,PH,77.02,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
171,Eyl,SO,72.91,overcast clouds,7.9803,49.8164,Amiin Hotel
176,Pitimbu,BR,77.38,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
180,Katherine,AU,84.52,overcast clouds,-14.4667,132.2667,Pine Tree Motel
184,Mount Isa,AU,82.17,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
186,Saint-Pierre,RE,76.68,few clouds,-21.3393,55.4781,Lindsey Hôtel
190,Harper,LR,78.8,clear sky,4.375,-7.7169,Screensaver
192,Colac,AU,71.62,overcast clouds,-38.3333,143.5833,Otway Gate Motel
195,Saint-Joseph,RE,75.58,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
197,Sao Felix Do Xingu,BR,70.95,light rain,-6.6447,-51.995,Rio Xingu Camping
198,Corrente,BR,72.9,moderate rain,-3.7367,-43.3394,Chapadinhense Hotel
199,Wanaka,NZ,72.1,light rain,-44.7,169.15,Wanaka Homestead Lodge and Cottages
200,Galle,LK,76.87,clear sky,6.0367,80.217,Amangalla
204,Hithadhoo,MV,80.76,broken clouds,-0.6,73.0833,Scoop Guest House
208,Christchurch,NZ,75.99,overcast clouds,-43.5333,172.6333,The George
209,Paragominas,BR,70.99,overcast clouds,-2.9667,-47.4833,INOVA
